main_street;id_arco;sense;from_intersection;to_intersection;Interseccion;day_name;hora;Nivel
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;20:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;20:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;21:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;21:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;21:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Tuesday;21:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;6:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;6:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;7:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;7:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;7:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;7:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;8:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;8:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;8:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;8:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;9:00;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;9:15;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;9:30;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;9:45;
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;10:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;10:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;10:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;10:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;11:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;11:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;11:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;11:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;12:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;12:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;12:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;12:45;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;13:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;13:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;13:30;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;13:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;14:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;14:15;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;14:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;14:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;15:00;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;15:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;15:30;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;15:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;16:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;16:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;16:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;16:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;17:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;17:15;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;17:30;2
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;17:45;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;18:00;3
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;18:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;18:30;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;18:45;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;19:00;5
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;19:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;19:30;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;19:45;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;20:00;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;20:15;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;20:30;4
Campo de Deportes;1;NS;Av. Irarrázaval;Dublé Almeyda;6;Wednesday;20:45;4
